ClassName,Category,ElementName,LocatorName,ExpectedText
Page_QuitTobaccoGoal,actions,FirstTile,startusingtobaccotrackertile,Start using the Tobacco Tracker
Page_QuitTobaccoGoal,actions,SecondTile,learnaboutalternatetherapytile,Learn about alternative therapies
Page_QuitTobaccoGoal,actions,ThirdTile,learnaboutnikotenetile,Learn about nicotine replacement therapy
Page_QuitTobaccoGoal,actions,FourthTile,listalternativesmoketile,List alternatives to smoke breaks
Page_QuitTobaccoGoal,actions,Question1,question1,Ask someone close to me for support
Page_QuitTobaccoGoal,actions,Question2,question2,Identify tobacco triggers

Page_QuitTobaccoGoal,actionitems,action1,actionitem1,Start using the Tobacco Tracker
Page_QuitTobaccoGoal,actionitems,action2,actionitem2,Learn about nicotine replacement therapy
Page_QuitTobaccoGoal,actionitems,action3,actionitem3,Learn about alternative therapies
Page_QuitTobaccoGoal,actionitems,errormessage,goalalert,A maximum of 5 actions can be assigned

Page_QuitTobaccoGoal,setup,firsttiletext,setupitem1,Ask someone close to me for support
Page_QuitTobaccoGoal,setup,secondtiletext,setupitem2,Identify tobacco triggers
Page_QuitTobaccoGoal,setup,thirdtiletext,setupitem3,Start using the Tobacco Tracker
Page_QuitTobaccoGoal,setup,fourthtiletext,setupitem4,Learn about nicotine replacement therapy
Page_QuitTobaccoGoal,setup,fifthtiletext,setupitem5,Learn about alternative therapies
Page_QuitTobaccoGoal,setup,expecteddatelbl,expecteddate,will be provided in page class

Page_QuitTobaccoGoal,completesetup,firsttiletext,completegoaltile1,Ask someone close to me for support
Page_QuitTobaccoGoal,completesetup,secondtiletext,completegoaltile2,Identify tobacco triggers
Page_QuitTobaccoGoal,completesetup,thirdtiletext,completegoaltile3,Learn about alternative therapies
Page_QuitTobaccoGoal,completesetup,fourthtiletext,completegoaltile4,Learn about nicotine replacement therapy
Page_QuitTobaccoGoal,completesetup,fifthtiletext,completegoaltile5,Start using the Tobacco Tracker
Page_QuitTobaccoGoal,completesetup,progresslabel,myprogresslbl,My Progress
Page_QuitTobaccoGoal,completesetup,daysremaining,noofdays,20
Page_QuitTobaccoGoal,completesetup,daysremaininglabel,daysremaininglbl,Days Remaining
Page_QuitTobaccoGoal,completesetup,trackbuttontext,trackbtn,Track

Page_DecreaseWeightGoal,actions,FirstTile,eatmorefoodforcalciumtile,Eat more food sources of calcium
Page_DecreaseWeightGoal,actions,SecondTile,cutdailycalorietile,Cut daily calories by 500-1000 calories
Page_DecreaseWeightGoal,actions,ThirdTile,reducemyfatintaketile,Reduce my fat intake
Page_DecreaseWeightGoal,actions,FourthTile,fibreintakeinputtile,Eat 25-30 grams of fiber daily
Page_DecreaseWeightGoal,actions,Question1,question1,Consume the suggested number of calories
Page_DecreaseWeightGoal,actions,Question2,question2,Do 30 minutes of cardio exercise 5x/week

Page_DecreaseWeightGoal,actionitems,action1,actionitem1,Eat more food sources of calcium
Page_DecreaseWeightGoal,actionitems,action2,actionitem2,Reduce my fat intake
Page_DecreaseWeightGoal,actionitems,action3,actionitem3,Cut daily calories by 500-1000 calories
Page_DecreaseWeightGoal,actionitems,errormessage,goalalert,A maximum of 5 actions can be assigned

Page_DecreaseWeightGoal,setup,firsttiletext,setupitem1,Consume the suggested number of calories
Page_DecreaseWeightGoal,setup,secondtiletext,setupitem2,Do 30 minutes of cardio exercise 5x/week
Page_DecreaseWeightGoal,setup,thirdtiletext,setupitem3,Eat more food sources of calcium
Page_DecreaseWeightGoal,setup,fourthtiletext,setupitem4,Reduce my fat intake
Page_DecreaseWeightGoal,setup,fifthtiletext,setupitem5,Cut daily calories by 500-1000 calories
Page_DecreaseWeightGoal,setup,expecteddatelbl,expecteddate,will be provided in page class

Page_DecreaseWeightGoal,completesetup,firsttiletext,completegoaltile1,Consume the suggested number of calories
Page_DecreaseWeightGoal,completesetup,secondtiletext,completegoaltile2,Cut daily calories by 500-1000 calories
Page_DecreaseWeightGoal,completesetup,thirdtiletext,completegoaltile3,Do 30 minutes of cardio exercise 5x/week
Page_DecreaseWeightGoal,completesetup,fourthtiletext,completegoaltile4,Eat more food sources of calcium
Page_DecreaseWeightGoal,completesetup,fifthtiletext,completegoaltile5,Reduce my fat intake
Page_DecreaseWeightGoal,completesetup,progresslabel,myprogresslbl,My Progress
Page_DecreaseWeightGoal,completesetup,daysremaining,noofdays,20
Page_DecreaseWeightGoal,completesetup,daysremaininglabel,daysremaininglbl,Days Remaining
Page_DecreaseWeightGoal,completesetup,trackbuttontext,trackbtn,Track

Page_DecreaseWeightGoal,goalsetupcancel,ModalWindowCancelButton,modalwindowcancelbtn,Cancel
Page_DecreaseWeightGoal,goalsetupcancel,ModalWindowOkButton,modalwindowokbtn,Ok
Page_DecreaseWeightGoal,goalsetupcancel,ModalWindowHeader,modalwindowheader,Cancel Goal Setup

Page_ImproveBloodPressureGoal,actions,FirstTile,anticipateandresolvetile,Anticipate and resolve challenges to my goal
Page_ImproveBloodPressureGoal,actions,secondtile,beacommunityadvocatetile,Be a community advocate for healthy lifestyles
Page_ImproveBloodPressureGoal,actions,thirdtile,breakdownmygoalinsmallerstepstile,Break down my goal into smaller steps
Page_ImproveBloodPressureGoal,actions,fourthtile,captalizeonmystrengthtoreachgoaltile,capitalize on my strengths to reach my goal
Page_ImproveBloodPressureGoal,actions,question1,question1,Adopt the DASH Eating Plan
Page_ImproveBloodPressureGoal,actions,question2,question2,Meet the Physical Activity Guidelines

Page_ImproveBloodPressureGoal,actionitems,action1,actionitem1,Anticipate and resolve challenges to my goal
Page_ImproveBloodPressureGoal,actionitems,action2,actionitem2,Break down my goal into smaller steps
Page_ImproveBloodPressureGoal,actionitems,action3,actionitem3,Be a community advocate for healthy lifestyles
Page_ImproveBloodPressureGoal,actionitems,errormessage,goalalert,A maximum of 5 actions can be assigned

Page_ImproveBloodPressureGoal,setup,firsttiletext,setupitem1,Adopt the DASH Eating Plan
Page_ImproveBloodPressureGoal,setup,secondtiletext,setupitem2,Meet the Physical Activity Guidelines
Page_ImproveBloodPressureGoal,setup,thirdtiletext,setupitem3,Anticipate and resolve challenges to my goal
Page_ImproveBloodPressureGoal,setup,fourthtiletext,setupitem4,Break down my goal into smaller steps
Page_ImproveBloodPressureGoal,setup,fifthtiletext,setupitem5,Be a community advocate for healthy lifestyles
Page_ImproveBloodPressureGoal,setup,expecteddatelbl,expecteddate,will be provided in page class

Page_ImproveBloodPressureGoal,completesetup,firsttiletext,completegoaltile1,Adopt the DASH Eating Plan
Page_ImproveBloodPressureGoal,completesetup,secondtiletext,completegoaltile2,Anticipate and resolve challenges to my goal
Page_ImproveBloodPressureGoal,completesetup,thirdtiletext,completegoaltile3,Be a community advocate for healthy lifestyles
Page_ImproveBloodPressureGoal,completesetup,fourthtiletext,completegoaltile4,Break down my goal into smaller steps
Page_ImproveBloodPressureGoal,completesetup,fifthtiletext,completegoaltile5,Meet the Physical Activity Guidelines
Page_ImproveBloodPressureGoal,completesetup,progresslabel,myprogresslbl,My Progress
Page_ImproveBloodPressureGoal,completesetup,daysremaining,noofdays,20
Page_ImproveBloodPressureGoal,completesetup,daysremaininglabel,daysremaininglbl,Days Remaining
Page_ImproveBloodPressureGoal,completesetup,trackbuttontext,trackbtn,Track


