ClassName,Category,ElementName,LocatorName,ExpectedText
Page_QuitTobaccoCourse,coursedata,Quit Tobacco Header,quittobaccocourseheader,Quit Tobacco

Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 LinkText,firstlessontext,Beginning with Basics
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-2 text,quittobacco_pagesheader,WELCOME!
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-3 text,quittobacco_pagesheader,TOBACCO AND YOUR HEALTH
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-4 text,quittobacco_pagesheader,IT'S NOT JUST A HABIT...IT'S AN ADDICTION
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-5 text,quittobacco_pagesheader,IS NOW THE RIGHT TIME? HOW READY ARE YOU?
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-6 text,quittobacco_pagesheader,GOAL: "THE RESULT OR ACHIEVEMENT TOWARD WHICH EFFORT IS DIRECTED"
Page_QuitTobaccoCourse,courselesson1data,Lesson-1 Page-7 text,quittobacco_pagesheader,WRAPPING UP...LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 LinkText,secondlessontext,Setting the Stage
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Page-2 text,quittobacco_pagesheader,HERE ARE FOUR QUIT METHODS. WHICH SOUNDS BEST FOR YOU?
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Page-3 text,quittobacco_pagesheader,SETTING UP YOUR ENVIRONMENT FOR SUCCESS
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Page-4 text,quittobacco_pagesheader,YOUR SURROUNDINGS AND OTHER PEOPLE
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Page-5 text,quittobacco_pagesheader,USING "S.T.A.R.T" TO STOP
Page_QuitTobaccoCourse,courselesson2data,Lesson-2 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD


Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 LinkText,thirdlessontext,Dorothy's Story
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Page-2 text,quittobacco_pagesheader,DOROTHY AND THE THREE-LINK CHAIN
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Page-3 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Page-4 text,quittobacco_pagesheader,THINKING POINTS
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Page-5 text,quittobacco_pagesheader,DON'T GO IT ALONE: GETTING ON TRACK WITH OTHERS
Page_QuitTobaccoCourse,courselesson3data,Lesson-3 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 LinkText,fourthlessontext,What's Your Motivation Situation?
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Page-2 text,quittobacco_pagesheader,MOTIVATION
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Page-3 text,quittobacco_pagesheader,MY POSITIVE MOTIVATORS
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Page-4 text,quittobacco_pagesheader,MY NEGATIVE MOTIVATORS: "WHY DO I USE TOBACCO?"
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Page-5 text,quittobacco_pagesheader,IS IT TOO LATE FOR SOME PEOPLE?
Page_QuitTobaccoCourse,courselesson4data,Lesson-4 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 LinkText,fifthlessontext,Time for Action
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-2 text,quittobacco_pagesheader,NO SHORTCUTS!
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-3 text,quittobacco_pagesheader,RETURNING TO S.T.A.R.T.
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-4 text,quittobacco_pagesheader,START: SET A QUIT DATE
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-5 text,quittobacco_pagesheader,START: TELL OTHERS ABOUT YOUR PLAN TO QUIT
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-6 text,quittobacco_pagesheader,ST
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-7 text,quittobacco_pagesheader,STA
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-8 text,quittobacco_pagesheader,START: TALK TO YOUR DOCTOR ABOUT GETTING HELP TO QUIT
Page_QuitTobaccoCourse,courselesson5data,Lesson-5 Page-9 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 LinkText,sixthlessontext,Physical Withdrawal and Medications
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Page-2 text,quittobacco_pagesheader,MEDICATION FOR PHYSICAL WITHDRAWAL
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Page-3 text,quittobacco_pagesheader,NICOTINE REPLACEMENT THERAPY (NRT)
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Page-4 text,quittobacco_pagesheader,OTHER MEDICATIONS (NON-NICOTINE)
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Page-5 text,quittobacco_pagesheader,DECIDING ON MEDICATIONS
Page_QuitTobaccoCourse,courselesson6data,Lesson-6 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 LinkText,seventhlessontext,Supporting the Facts
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Page-2 text,quittobacco_pagesheader,MYTH OR TRUTH?
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Page-3 text,quittobacco_pagesheader,SUPPORT AND BEING A ROLE MODEL
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Page-4 text,quittobacco_pagesheader,SUGGESTIONS FOR SUPPORT
Page_QuitTobaccoCourse,courselesson7data,Lesson-7 Page-5 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 LinkText,eighthlessontext,Build Your Arsenal
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Page-1 text,quittobacco_pagesheader,no_element
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Page-2 text,quittobacco_pagesheader,ACTION STEPS WORTH TRYING
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Page-3 text,quittobacco_pagesheader,ACTION STEPS WORTH TRYING
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Page-4 text,quittobacco_pagesheader,STRESS AND TOBACCO USE
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Page-5 text,quittobacco_pagesheader,WHAT DO I DO NOW?
Page_QuitTobaccoCourse,courselesson8data,Lesson-8 Page-6 text,quittobacco_pagesheader,WRAPPING UP AND LOOKING AHEAD

Page_QuitTobaccoCourse,courselesson9data,Lesson-9 Course Overview Header,courseoverviewheader,Course Overview
Page_QuitTobaccoCourse,courselesson9data,Lesson-9 LinkText,ninthlessontext,Men
Page_QuitTobaccoCourse,courselesson9data,Lesson-9 Overview Text,quittobacco_overviewheader,Overview
Page_QuitTobaccoCourse,courselesson9data,Lesson-9 Page-1 text,quittobacco_pagesheader,no_element
