ClassName,Category,ElementName,LocatorName,ElementDisplayedStatus,inputvalue1,inputvalue2
Dashboard,newmember_journey,WelcomeVideo_WatchBtn,journeytile_gobtn,true,Welcome Video,Watch
Dashboard,newmember_journey,WelcomeVideo_DismissBtn,journeytile_dismissbtn,true,Welcome Video,Dismiss
Dashboard,newmember_journey,HealthAssessment_TakeMeThereBtn,journeytile_gobtn,true,Health Assessment,Take Me There
Dashboard,newmember_journey,HealthAssessment_DismissBtn,journeytile_dismissbtn,true,Health Assessment,Dismiss
Dashboard,newmember_journey,BiometricHealthScreening_LearnMoreBtn,journeytile_gobtn,true,Biometric Health Screening,Learn More
Dashboard,newmember_journey,BiometricHealthScreening_DismissBtn,journeytile_dismissbtn,true,Biometric Health Screening,Dismiss
Dashboard,newmember_journey,ContactYourHealthCoach_ContactBtn,journeytile_gobtn,true,Contact Your Health Coach,Contact
Dashboard,newmember_journey,ContactYourHealthCoach_DismissBtn,journeytile_dismissbtn,true,Contact Your Health Coach,Dismiss
Dashboard,newmember_journey,DownloadTheAlwaysOnMobileApp_DownloadBtn,journeytile_gobtn,true,Download the AlwaysOn,Download
Dashboard,newmember_journey,DownloadTheAlwaysOnMobileApp_DismissBtn,journeytile_dismissbtn,true,Download the AlwaysOn,Dismiss
Dashboard,newmember_journey,JoinAChallenge_JoinChallengeBtn,journeytile_gobtn,true,Join a Challenge,Join Challenge
Dashboard,newmember_journey,JoinAChallenge_DismissBtn,journeytile_dismissbtn,true,Join a Challenge,Dismiss
Dashboard,newmember_journey,ConnectYourFitnessDeviceOrApp_ConnectBtn,journeytile_gobtn,true,Connect Your Fitness Device or App,Connect
Dashboard,newmember_journey,ConnectYourFitnessDeviceOrApp_DismissBtn,journeytile_dismissbtn,true,Connect Your Fitness Device or App,Dismiss
Dashboard,newmember_journey,OrderAFitnessDevice_ShopNowBtn,journeytile_gobtn,true,Order a Fitness Device,Shop Now
Dashboard,newmember_journey,OrderAFitnessDevice_DismissBtn,journeytile_dismissbtn,false,Order a Fitness Device,Dismiss
Dashboard,newmember_journey,TrackWithYourNutritionApp_ConnectAppBtn,journeytile_gobtn,true,Track with your Nutrition App,Connect App
Dashboard,newmember_journey,TrackWithYourNutritionApp_DismissBtn,journeytile_dismissbtn,true,Track with your Nutrition App,Dismiss
Dashboard,newmember_journey,SelfDirectedCoursePreventiveHealth_TakeTheCourseBtn,journeytile_gobtn,true,Self-Directed Course-Preventive Health,Take The Course
Dashboard,newmember_journey,SelfDirectedCoursePreventiveHealth_DismissBtn,journeytile_dismissbtn,true,Self-Directed Course-Preventive Health,Dismiss
Dashboard,newmember_journey,SelfDirectedProgressCheckInCompletion_CheckInBtn,journeytile_gobtn,true,Self-Directed Progress Check-In Completion,Check-In
Dashboard,newmember_journey,SelfDirectedProgressCheckInCompletion_DismissBtn,journeytile_dismissbtn,true,Self-Directed Progress Check-In Completion,Dismiss
Dashboard,newmember_journey,ConnectWithAColleague_ConnectBtn,journeytile_gobtn,true,Connect with a Colleague,Connect
Dashboard,newmember_journey,ConnectWithAColleague_DismissBtn,journeytile_dismissbtn,true,Connect with a Colleague,Dismiss

MyJourney,newmember_journey,WelcomeVideo_WatchBtn,journeytile_gobtn,true,Welcome Video,Watch
MyJourney,newmember_journey,HealthAssessment_TakeMeThereBtn,journey_completelabel,true,Health Assessment,Complete
MyJourney,newmember_journey,BiometricHealthScreening_LearnMoreBtn,journeytile_gobtn,true,Biometric Health Screening,Learn More
MyJourney,newmember_journey,ContactYourHealthCoach_ContactBtn,journeytile_gobtn,true,Contact Your Health Coach,Contact
MyJourney,newmember_journey,DownloadTheAlwaysOnMobileApp_DownloadBtn,journeytile_gobtn,true,Download the AlwaysOn,Download
MyJourney,newmember_journey,JoinAChallenge_JoinChallengeCompleteLabel,journey_completelabel,true,Join a Challenge,Complete
MyJourney,newmember_journey,ConnectYourFitnessDeviceOrApp_Completelabel,journey_completelabel,true,Connect Your Fitness Device or App,Complete
MyJourney,newmember_journey,OrderAFitnessDevice_ShopNowBtn,journeytile_gobtn,true,Order a Fitness Device,Shop Now
MyJourney,newmember_journey,TrackWithYourNutritionApp_completelabel,journey_completelabel,true,Track with your Nutrition App,Complete
MyJourney,newmember_journey,SelfDirectedCoursePreventiveHealth_TakeTheCourseBtn,journeytile_gobtn,true,Self-Directed Course-Preventive Health,Take The Course
MyJourney,newmember_journey,SelfDirectedProgressCheckInCompletion_completelabel,journey_completelabel,true,Self-Directed Progress Check-In Completion,Complete
MyJourney,newmember_journey,ConnectWithAColleague_ConnectBtn,journeytile_gobtn,true,Connect with a Colleague,Connect

Page_FillHA,highrisk_journeyrecommendation,WelcomeVideo_WatchBtn,journeytile_gobtn,true,Welcome Video,Watch
Page_FillHA,highrisk_journeyrecommendation,WelcomeVideo_DismissBtn,journeytile_dismissbtn,true,Welcome Video,Dismiss
;Page_FillHA,highrisk_journeyrecommendation,HealthAssessment_TakeMeThereBtn,journeytile_gobtn,false,Health Assessment,Take me there
;Page_FillHA,highrisk_journeyrecommendation,HealthAssessment_DismissBtn,journeytile_dismissbtn,false,Health Assessment,Dismiss
Page_FillHA,highrisk_journeyrecommendation,LowerYourStress_StartBtn,journeytile_gobtn,true,Lower Your Stress,Start
Page_FillHA,highrisk_journeyrecommendation,LowerYourStress_DismissBtn,journeytile_dismissbtn,true,Lower Your Stress,Dismiss
Page_FillHA,highrisk_journeyrecommendation,LowerYourBloodPressure_StartProgramBtn,journeytile_gobtn,true,Lower Your Blood Pressure,Start Program
Page_FillHA,highrisk_journeyrecommendation,LowerYourBloodPressure_DismissBtn,journeytile_dismissbtn,true,Lower Your Blood Pressure,Dismiss
Page_FillHA,highrisk_journeyrecommendation,LowerYourCholesterol_StartProgramBtn,journeytile_gobtn,true,Lower Your Cholesterol,Start Program
Page_FillHA,highrisk_journeyrecommendation,LowerYourCholesterol_DismissBtn,journeytile_dismissbtn,true,Lower Your Cholesterol,Dismiss
Page_FillHA,highrisk_journeyrecommendation,EatHealthy_StartProgramBtn,journeytile_gobtn,true,Eat Healthy,Start Program
Page_FillHA,highrisk_journeyrecommendation,EatHealthy_DismissBtn,journeytile_dismissbtn,true,Eat Healthy,Dismiss
Page_FillHA,highrisk_journeyrecommendation,ExerciseProgram_StartProgramBtn,journeytile_gobtn,true,Exercise Program,Start Program
Page_FillHA,highrisk_journeyrecommendation,ExerciseProgram_DismissBtn,journeytile_dismissbtn,true,Exercise Program,Dismiss
Page_FillHA,highrisk_journeyrecommendation,QuitTobacco_StartProgramBtn,journeytile_gobtn,true,Quit Tobacco,Start Program
Page_FillHA,highrisk_journeyrecommendation,QuitTobacco_DismissBtn,journeytile_dismissbtn,true,Quit Tobacco,Dismiss
Page_FillHA,highrisk_journeyrecommendation,LoseTheWeight_StartProgramBtn,journeytile_gobtn,true,Lose The Weight,Start Program
Page_FillHA,highrisk_journeyrecommendation,LoseTheWeight_DismissBtn,journeytile_dismissbtn,true,Lose The Weight,Dismiss
Page_FillHA,highrisk_journeyrecommendation,BiometricHealthScreening_LearnMoreBtn,journeytile_gobtn,true,Biometric Health Screening,Learn More
Page_FillHA,highrisk_journeyrecommendation,BiometricHealthScreening_DismissBtn,journeytile_dismissbtn,true,Biometric Health Screening,Dismiss
Page_FillHA,highrisk_journeyrecommendation,ContactYourHealthCoach_ContactBtn,journeytile_gobtn,true,Contact Your Health Coach,Contact
Page_FillHA,highrisk_journeyrecommendation,ContactYourHealthCoach_DismissBtn,journeytile_dismissbtn,true,Contact Your Health Coach,Dismiss
Page_FillHA,highrisk_journeyrecommendation,DownloadTheAlwaysOnMobileApp_DownloadBtn,journeytile_gobtn,true,Download the AlwaysOn,Download
Page_FillHA,highrisk_journeyrecommendation,DownloadTheAlwaysOnMobileApp_DismissBtn,journeytile_dismissbtn,true,Download the AlwaysOn,Dismiss
Page_FillHA,highrisk_journeyrecommendation,JoinAChallenge_JoinChallengeBtn,journeytile_gobtn,true,Join a Challenge,Join Challenge
Page_FillHA,highrisk_journeyrecommendation,JoinAChallenge_DismissBtn,journeytile_dismissbtn,true,Join a Challenge,Dismiss
Page_FillHA,highrisk_journeyrecommendation,ConnectYourFitnessDeviceOrApp_ConnectBtn,journeytile_gobtn,true,Connect Your Fitness Device or App,Connect
Page_FillHA,highrisk_journeyrecommendation,ConnectYourFitnessDeviceOrApp_DismissBtn,journeytile_dismissbtn,true,Connect Your Fitness Device or App,Dismiss
Page_FillHA,highrisk_journeyrecommendation,OrderAFitnessDevice_ShopNowBtn,journeytile_gobtn,true,Order a Fitness Device,Shop Now
Page_FillHA,highrisk_journeyrecommendation,OrderAFitnessDevice_DismissBtn,journeytile_dismissbtn,false,Order a Fitness Device,Dismiss
Page_FillHA,highrisk_journeyrecommendation,TrackWithYourNutritionApp_ConnectAppBtn,journeytile_gobtn,true,Track with your Nutrition App,Connect App
Page_FillHA,highrisk_journeyrecommendation,TrackWithYourNutritionApp_DismissBtn,journeytile_dismissbtn,true,Track with your Nutrition App,Dismiss
Page_FillHA,highrisk_journeyrecommendation,SelfDirectedCoursePreventiveHealth_TakeTheCourseBtn,journeytile_gobtn,true,Self-Directed Course-Preventive Health,Take The Course
Page_FillHA,highrisk_journeyrecommendation,SelfDirectedCoursePreventiveHealth_DismissBtn,journeytile_dismissbtn,true,Self-Directed Course-Preventive Health,Dismiss
;Page_FillHA,highrisk_journeyrecommendation,SelfDirectedProgressCheckInCompletion_CheckInBtn,journeytile_gobtn,true,Self-Directed Progress Check-In Completion,Check-In
;Page_FillHA,highrisk_journeyrecommendation,SelfDirectedProgressCheckInCompletion_DismissBtn,journeytile_dismissbtn,true,Self-Directed Progress Check-In Completion,Dismiss
Page_FillHA,highrisk_journeyrecommendation,ConnectWithAColleague_ConnectBtn,journeytile_gobtn,true,Connect with a Colleague,Connect
Page_FillHA,highrisk_journeyrecommendation,ConnectWithAColleague_DismissBtn,journeytile_dismissbtn,true,Connect with a Colleague,Dismiss
