ClassName,Category,ElementName,LocatorName,ParameterValue,ExpectedText

Page_FillHA,hamoduletitle,YOUR INFO HAFrameTitle,haframetitle,novalue,YOUR INFO: Let's get started
Page_FillHA,hamoduletitle,Your Snapshot Report HAFrameTitle,haframetitle,novalue,Your Snapshot Report
Page_FillHA,hamoduletitle,ABOUT YOU HAFrameTitle,haframetitle,novalue,ABOUT YOU: It's all about you
Page_FillHA,hamoduletitle,YOUR VITALS HAFrameTitle,haframetitle,novalue,YOUR VITALS: Know your numbers
Page_FillHA,hamoduletitle,DIET HAFrameTitle,haframetitle,novalue,DIET: You are what you eat
Page_FillHA,hamoduletitle,TOBACCO HAFrameTitle,haframetitle,novalue,TOBACCO: Tobacco and you
Page_FillHA,hamoduletitle,HISTORY HAFrameTitle,haframetitle,novalue,HISTORY: Your health history
Page_FillHA,hamoduletitle,ACTIVITY HAFrameTitle,haframetitle,novalue,ACTIVITY: Get your move on
Page_FillHA,hamoduletitle,EMOTIONAL HEALTH HAFrameTitle,haframetitle,novalue,EMOTIONAL HEALTH: How you feel
Page_FillHA,hamoduletitle,AT WORK HAFrameTitle,haframetitle,novalue,AT WORK: Your health at work
Page_FillHA,hamoduletitle,MY HEALTH ASSESSMENT HAFrameTitle,haframetitle,novalue,MY HEALTH ASSESSMENT : Completed


Page_FillHA,yourinfofirstsection,HAYourInfo_OverallHealth,yourinfo_overallhealth,1,notext
Page_FillHA,yourinfofirstsection,HAYourInfo_EatingHabits,yourinfo_eatinghabits,1,notext
Page_FillHA,yourinfofirstsection,HAYourInfo_DrinkHabits,yourinfo_drinkhabits,1,notext
Page_FillHA,yourinfofirstsection,HAYourInfo_SmokeHabits,yourinfo_smokehabits,1,notext
Page_FillHA,yourinfofirstsection,HAYourInfo_CigarHabits,yourinfo_cigarhabits,1,notext
Page_FillHA,yourinfofirstsection,HAYourInfo_PipesHabits,yourinfo_pipeshabits,1,notext
Page_FillHA,yourinfofirstsection,HAYourInfo_SmokelessHabits,yourinfo_smokelesshabits,1,notext

Page_FillHA,yourinfothirdsection,HAYourInfo_StressEffect,yourinfo_stresseffect,1,notext
Page_FillHA,yourinfothirdsection,HAYourInfo_DiabeticsStatus,yourinfo_diabeticstatus,2,notext

Page_FillHA,aboutyoumodule,HAAboutYou_AmericanIndianRaceGroup,aboutyou_racegroup,1,notext
Page_FillHA,aboutyoumodule,HAAboutYou_SafetyBelt,aboutyou_safetybelt,3,notext
Page_FillHA,aboutyoumodule,HAAboutYou_510yearsScreening,aboutyou_screening,3,notext

Page_FillHA,yourvitalsmodule,HAYourVitals_13yearsWeightRange,yourvitals_weightrange,3,notext
Page_FillHA,yourvitalsmodule,HAYourVitals_HighBP,yourvitals_no_highbp,2,notext
Page_FillHA,yourvitalsmodule,HAYourVitals_HighCholesterol,yourvitals_no_highcholesterol,2,notext

Page_FillHA,dietmodule,HADiet_Fruit3Servings,diet_3servings_fruit,3,notext
Page_FillHA,dietmodule,HADiet_Vegetables3Servings,diet_3servings_vegetables,3,notext
Page_FillHA,dietmodule,HADiet_WholeGrains3Servings,diet_3servings_wholegrains,3,notext
Page_FillHA,dietmodule,HADiet_Diary3Servings,diet_2servings_diaryproducts,2,notext
Page_FillHA,dietmodule,HADiet_Fish3Servings,diet_3servings_fish,4,notext
Page_FillHA,dietmodule,HADiet_YesContinueEatingHabits,diet_yes_continueeatinghabits,1,notext

Page_FillHA,tobaccomodule,HATobacco_OccasionallySecondHandSmoke,tobacco_occasionally_secondhandsmoke,2,notext

Page_FillHA,historymodule,HAHistory_NoCancer,history_no_cancer,2,notext
Page_FillHA,historymodule,HAHistory_NoHeartDisease,history_no_heartdisease,2,notext
Page_FillHA,historymodule,HAHistory_NoOsteroporosis,history_no_osteoporosis,3,notext
Page_FillHA,historymodule,HAHistory_NoMigraine,history_no_migraine,3,notext
Page_FillHA,historymodule,HAHistory_NoArthritis,history_no_arthritis,3,notext
Page_FillHA,historymodule,HAHistory_NoAsthma,history_no_asthma,3,notext
Page_FillHA,historymodule,HAHistory_NoBackpain,history_no_backpain,2,notext

Page_FillHA,activitymodule,HAActivity_MoreThan1YearHealthyLevel,activity_morethan1year_healthylevel,3,notext

Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_NoLostAllInterest,emotionalhealth_no_lostallinterest,2,notext
Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_NoDepressedFeltOkaySometimes,emotionalhealth_no_feltdepressed_feltokaysometimes,2,notext
Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_NoDrepressedMuchOfTheTime,emotionalhealth_no_feltdepressed_muchofthetime,2,notext
Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_SometimesUnableToControlThings,emotionalhealth_sometimes_unabletocontrolthings,3,notext
Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_SometimesHandlePersonalProblems,emotionalhealth_sometimes_handlepersonalproblems,3,notext
Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_SometimesThingsGoingYourWay,emotionalhealth_sometimes_thingsgoingyourway,3,notext
Page_FillHA,emotionalhealthmodule,HAEmotionalHealth_SometimesDifficultiesPillingUp,emotionalhealth_sometimes_difficultiespillingup,3,notext

Page_FillHA,atworkmodule,HAAtWork_NoCurrentEmployed,atwork_no_currentlyemployed,2,notext





